Movie;Month;Day;Year;Budget($M);Domestic Gross($M);Worldwide Gross($M)
The Mask;Jul;29;1994;18;119.920.129;351.620.129
Who Framed Roger Rabbit?;Jun;22;1988;70;154.112.492;351.5
The Great Gatsby;May;10;2013;190;144.840.419;351.040.419
Doctor Seuss' The Lorax;Mar;2;2012;67.5;2.140.305;350.976.753
Hannibal;Feb;9;2001;87;165.092.266;35.010.028
Fifty Shades Freed;Feb;9;2018;55;97.457.595;349.878.788
Fifty Shades Freed;Feb;9;2018;55;97.457.595;349.878.788
Deep Impact;May;8;1998;80;140.464.664;349.464.664
Murder on the Orient Express;Nov;10;2017;55;102.826.543;349.213.586
Murder on the Orient Express;Nov;10;2017;55;102.826.543;349.213.586
The Legend of Tarzan;Jul;1;2016;180;126.643.061;349.143.061
Alvin and the Chipmunks: Chipwrecked;Dec;16;2011;80;133.107.389;349.088.523
I, Robot;Jul;16;2004;105;144.801.023;348.629.585
The Smurfs 2;Jul;31;2013;110;71.017.784;348.547.523
The Maze Runner;Sep;19;2014;34;102.427.862;348.319.861
Rush Hour 2;Aug;3;2001;90;226.164.286;347.425.832
Pocahontas;Jun;10;1995;55;141.579.773;347.1
Pocahontas;Jun;10;1995;55;141.579.773;347.1
How the Grinch Stole Christmas;Nov;17;2000;123;260.044.825;345.141.403
xXx: Return of Xander Cage;Jan;20;2017;85;44.898.413;345.114.933
Trolls;Nov;4;2016;125;153.707.064;344.780.046
Over the Hedge;May;19;2006;80;15.501.934;343.397.247
Now You See Me;May;31;2013;75;117.723.989;3.427.692
Wanted;Jun;27;2008;75;134.508.551;34.241.646
Close Encounters of the Third Kind;Nov;16;1977;20;169.100.479;340.800.479
Enchanted;Nov;21;2007;85;127.706.877;340.384.141
Tomorrow Never Dies;Dec;19;1997;110;125.304.276;339.504.276
Batman Forever;Jun;16;1995;100;184.031.112;336.529.144
Star Trek Beyond;Jul;22;2016;185;15.884.834;336.398.312
The Rock;Jun;7;1996;75;134.069.511;336.069.511
The Great Wall;Feb;17;2017;150;45.157.105;334.550.106
The Good Dinosaur;Nov;25;2015;187.5;12.308.712;334.342.692
Apollo 13;Jun;30;1995;65;172.070.496;334.1
Fantastic Four;Jul;8;2005;87.5;15.469.608;33.313.275
Indiana Jones and the Temple of Doom;May;23;1984;28;179.880.271;333.080.271
Back to the Future Part II;Nov;22;1989;40;118.450.002;332
National Treasure;Nov;19;2004;100;173.005.002;33.132.341
Black Swan;Dec;3;2010;13;106.954.678;33.126.671
300: Rise of an Empire;Mar;7;2014;110;106.580.051;330.780.051
Meet the Parents;Oct;6;2000;55;16.622.504;33.042.504
Meet the Parents;Oct;6;2000;55;16.622.504;33.042.504
The Curious Case of Benjamin Button;Dec;25;2008;160;127.509.326;329.631.958
The Perfect Storm;Jun;30;2000;120;182.618.434;328.711.434
