Movie;Month;Day;Year;Budget($M);Domestic Gross($M);Worldwide Gross($M)
Hook;Dec;11;1991;70;119.654.823;300.854.823
Rambo: First Blood Part II;May;22;1985;44;150.415.432;300.4
Superman;Dec;15;1978;55;134.218.018;300.2
Superman;Dec;15;1978;55;134.218.018;300.2
Van Helsing;May;7;2004;170;120.150.546;300.150.546
Horton Hears a Who;Mar;14;2008;85;154.529.439;299.477.886
Shutter Island;Feb;19;2010;80;128.012.934;299.461.782
My Best Friend's Wedding;Jun;20;1997;46;126.813.153;298.923.419
Stuart Little;Dec;17;1999;105;140.015.224;298.815.224
X-Men;Jul;14;2000;75;157.299.717;296.872.367
Miss Peregrine’s Home for Peculiar Children;Sep;30;2016;110;87.242.834;296.642.834
Austin Powers in Goldmember;Jul;25;2002;63;213.117.789;296.338.663
Resident Evil: Afterlife;Sep;10;2010;57.5;60.128.566;29.587.419
Resident Evil: Afterlife;Sep;10;2010;57.5;60.128.566;29.587.419
Wonder;Nov;17;2017;20;132.166.669;295.459.836
The Divergent Series: Insurgent;Mar;20;2015;110;130.179.072;295.279.072
Ghostbusters;Jun;8;1984;30;242.212.467;295.212.467
Sex and the City 2;May;27;2010;95;95.347.692;294.680.778
Doctor Dolittle;Jun;26;1998;71.5;144.156.605;294.156.605
G-Force;Jul;24;2009;150;11.943.677;292.817.841
The Green Mile;Dec;10;1999;60;136.801.374;290.701.374
Salt;Jul;23;2010;130;118.311.368;290.650.494
Ferdinand;Dec;15;2017;111;83.170.864;289.959.445
The Departed;Oct;6;2006;90;132.384.315;289.660.619
Bridesmaids;May;13;2011;32.5;169.211.718;289.632.023
Fantastic Four: Rise of the Silver Surfer;Jun;15;2007;120;131.921.738;289.480.691
What Lies Beneath;Jul;21;2000;90;155.464.351;288.693.989
The Bourne Supremacy;Jul;23;2004;85;17.608.745;28.858.745
Oblivion;Apr;19;2013;120;89.107.235;287.916.633
Pitch Perfect 2;May;15;2015;29;18.429.623;287.641.616
Bee Movie;Nov;2;2007;150;126.631.277;287.594.577
Turbo;Jul;17;2013;135;8.302.813;286.896.578
American Pie 2;Aug;10;2001;30;14.509.682;286.5
The Sound of Music;Mar;2;1965;8.Şub;163.214.286;286.214.286
Elysium;Aug;9;2013;120;93.050.117;286.192.091
Lethal Weapon 4;Jul;10;1998;140;130.444.603;285.4
Wedding Crashers;Jul;15;2005;40;209.218.368;283.218.368
Speed;Jun;10;1994;30;121.248.145;283.2
John Carter;Mar;9;2012;275;73.058.679;2.827.781
Casper;May;26;1995;55;100.328.194;282.3
Casper;May;26;1995;55;100.328.194;282.3
Bridget Jones's Diary;Apr;13;2001;25;71.500.556;281.527.158
The Bourne Legacy;Aug;10;2012;125;11.320.387;28.035.592
Shakespeare in Love;Dec;11;1998;26;100.317.794;279.5
Maze Runner: The Death Cure;Jan;26;2018;61;572.672;279.316.181
The Tourist;Dec;10;2010;100;67.631.157;278.731.369
Split;Jan;20;2017;5;138.141.585;278.449.984
Alice Through the Looking Glass;May;27;2016;170;77.042.381;277.442.381
Scary Movie;Jul;7;2000;19;157.019.771;277.2
Beverly Hills Cop II;May;20;1987;20;153.665.036;276.665.036
Scooby-Doo;Jun;14;2002;84;153.294.164;276.294.164
Divergent;Mar;21;2014;85;150.947.895;276.014.965
The Silence of the Lambs;Feb;14;1991;20;130.726.716;275.726.716
Sen to Chihiro no Kamikakushi;Sep;20;2002;19;10.049.886;274.949.886
Gran Torino;Dec;12;2008;25;148.095.302;274.543.085
High School Musical 3: Senior Year;Oct;24;2008;11;90.559.416;27.439.288
Cloudy with a Chance of Meatballs 2;Sep;27;2013;78;119.793.567;274.392.649
The Nutty Professor;Jun;28;1996;55;128.814.019;273.814.019
The Nutty Professor;Jun;28;1996;55;128.814.019;273.814.019
Lincoln;Nov;9;2012;65;182.207.973;273.346.281
Lara Croft: Tomb Raider;Jun;15;2001;94;131.144.183;273.330.185
Bad Boys II;Jul;18;2003;130;13.854.087;273.271.982
Grown Ups;Jun;25;2010;75;162.001.186;27.222.343
The Princess and the Frog;Nov;25;2009;105;104.400.899;270.997.378
Neighbors;May;9;2014;18;1.500.868;270.944.428
The Firm;Jun;30;1993;42;158.340.892;270.340.892
Mr. Peabody & Sherman;Mar;7;2014;145;11.150.643;26.980.643
10,000 B.C.;Mar;7;2008;105;94.784.201;269.065.678
The Godfather;Mar;15;1972;7;134.966.411;268.5
Exodus: Gods and Kings;Dec;12;2014;140;65.014.513;268.314.513
The Expendables;Aug;13;2010;82;103.068.524;268.268.174
Bambi;Aug;13;1942;0.858;102.797;268
American Gangster;Nov;2;2007;100;130.164.645;267.985.456
We're the Millers;Aug;7;2013;37;150.394.119;267.816.276
xXx;Aug;9;2002;70;141.93;267.2
Batman Returns;Jun;18;1992;80;162.833.635;266.824.291
Something's Gotta Give;Dec;12;2003;80;124.685.242;266.685.242
The Incredible Hulk;Jun;13;2008;137.5;134.806.913;265.573.859
Waterworld;Jul;28;1995;175;8.824.622;26.424.622
The Truman Show;Jun;5;1998;60;125.618.201;264.118.201
The Fifth Element;May;9;1997;95;63.570.862;263.898.761
Real Steel;Oct;7;2011;110;85.463.309;263.880.341
Cinderella;Feb;15;1950;2.Eyl;85;263.591.415
Baahubali 2: The Conclusion;Apr;28;2017;30;18.985.794;263.585.794
Epic;May;24;2013;100;107.518.682;262.794.441
Jumanji;Dec;15;1995;65;10.045.831;26.275.831
Borat;Nov;3;2006;18;128.505.958;261.443.242
Total Recall;Jun;1;1990;65;119.394.839;261.4
Robots;Mar;11;2005;80;128.200.012;260.700.012
The Lone Ranger;Jul;2;2013;275;89.302.115;260.002.115
Charlie's Angels;Nov;3;2000;90;125.305.545;25.973.609
Paddington;Jan;16;2015;55;76.223.578;25.954.143
Paddington;Jan;16;2015;55;76.223.578;25.954.143
Blade Runner 2049;Oct;6;2017;185;92.054.159;259.103.376
Knight and Day;Jun;23;2010;117;76.423.035;25.875.137
Out of Africa;Dec;18;1985;31;79.096.868;25.821.086
The Full Monty;Aug;13;1997;3.May;45.950.122;257.938.649
American Hustle;Dec;13;2013;40;150.117.807;257.878.294
The Village;Jul;30;2004;71.682.975;11.419.752;257.641.634
Annabelle;Oct;3;2014;6.May;84.273.813;25.686.292
Rush Hour 3;Aug;10;2007;180;140.125.968;256.585.882
Get Out;Feb;24;2017;5;176.040.665;255.090.124
Cliffhanger;May;28;1993;65;84.049.211;255
Wild Hogs;Mar;2;2007;60;168.213.584;253.555.383
True Grit;Dec;22;2010;35;171.243.005;252.276.928
Michael Jackson's This Is It;Oct;28;2009;60;72.091.016;252.091.016
After Earth;May;31;2013;130;60.522.097;251.499.665
You've Got Mail;Dec;18;1998;65;115.821.495;250.8
Hercules;Jun;13;1997;70;99.112.101;250.7
Enemy of the State;Nov;20;1998;85;111.549.836;250.649.836
The Peanuts Movie;Nov;6;2015;99;130.178.411;250.474.038
Space Jam;Nov;15;1996;80;90.463.534;250.2
Alvin and the Chipmunks: The Road Chip;Dec;18;2015;90;85.886.987;24.952.043
Eragon;Dec;15;2006;100;75.030.163;249.488.115
The Blair Witch Project;Jul;14;1999;0.6;140.539.099;248.3
The Ring;Oct;18;2002;48;129.094.024;248.218.486
Unbreakable;Nov;22;2000;73.243.106;94.999.143;248.099.143
Love Actually;Nov;7;2003;45;59.472.278;247.946.915
Marley & Me;Dec;25;2008;60;143.153.751;247.812.011
Bienvenue chez les Ch'tis;Jul;25;2008;16;147.765;247.474.497
Grown Ups 2;Jul;12;2013;80;133.668.525;247.023.808
Dumb & Dumber;Dec;16;1994;16;127.175.374;246.4
Babe;Aug;4;1995;30;6.365.891;246.1
Lilo & Stitch;Jun;21;2002;80;145.771.527;245.8
8 Mile;Nov;8;2002;41;116.724.075;245.768.384
Rango;Mar;4;2011;135;123.477.607;2.457.246
Teenage Mutant Ninja Turtles: Out of the Shadows;Jun;3;2016;135;82.051.601;245.623.848
Rush Hour;Sep;18;1998;35;141.186.864;245.3
Hulk;Jun;20;2003;137;132.177.234;245.075.434
Pixels;Jul;24;2015;90;78.765.986;244.144.701
Back to the Future Part III;May;24;1990;40;88.055.283;244.088.654
Hercules;Jul;25;2014;100;72.688.614;243.388.614
Journey to the Center of the Earth;Jul;11;2008;45;10.170.437;243.180.937
RoboCop;Feb;12;2014;120;58.607.007;242.981.799
Four Weddings and a Funeral;Mar;9;1994;4.May;52.700.832;242.895.809
Face/Off;Jun;27;1997;80;112.276.146;241.2
Assassin’s Creed;Dec;21;2016;125;54.647.948;240.497.948
Die Hard 2;Jul;3;1990;70;117.323.878;239.814.025
Crocodile Dundee 2;May;25;1988;14;10.930.621;23.960.621
Dead Poets Society;Jun;2;1989;16.Nis;95.860.116;239.5
The Girl with the Dragon Tattoo;Dec;20;2011;90;102.515.793;23.937.397
Resident Evil: Retribution;Sep;14;2012;65;42.345.531;238.940.997
Alien: Covenant;May;19;2017;97;74.262.031;238.862.031
Sully;Sep;9;2016;60;125.070.033;238.552.082
Batman & Robin;Jun;20;1997;125;107.325.195;238.317.814
Dark Shadows;May;11;2012;150;79.727.149;238.202.668
Hauru no ugoku shiro;Jun;10;2005;24;4.710.455;237.814.327
Click;Jun;23;2006;82.5;137.355.633;237.685.089
Cloudy with a Chance of Meatballs;Sep;18;2009;100;124.870.275;236.827.677
A Few Good Men;Dec;11;1992;33;141.340.178;236.5
Silver Linings Playbook;Nov;16;2012;21;132.092.958;236.412.453
2 Fast 2 Furious;Jun;6;2003;76;127.120.058;236.410.607
Artificial Intelligence: AI;Jun;29;2001;90;78.616.689;235.9
Mr. Bean’s Holiday;Aug;24;2007;25;33.302.167;234.981.342
American Pie;Jul;9;1999;12;101.800.948;234.723.148
Eraser;Jun;21;1996;100;101.295.562;234.4
The Mask of Zorro;Jul;17;1998;65;93.828.745;233.7
Spy!;Jun;5;2015;65;110.825.712;233.125.712
The Day the Earth Stood Still;Dec;12;2008;80;79.366.978;233.066.978
Gone in 60 Seconds;Jun;9;2000;103.3;101.643.008;232.643.008
Gulliver's Travels;Dec;25;2010;112;42.779.261;232.017.848
Million Dollar Baby;Dec;15;2004;30;100.492.203;231.928.227
Hidden Figures;Dec;25;2016;25;169.607.287;231.800.856
The English Patient;Nov;15;1996;35;78.716.374;231.710.008
Juno;Dec;5;2007;7;143.495.265;231.450.102
The Heat;Jun;28;2013;43;159.581.587;229.727.774
Ghost Rider;Feb;16;2007;120;115.802.596;229.545.589
La vita è bella;Oct;23;1998;20;57.598.247;229.385.361
The Green Hornet;Jan;14;2011;110;98.780.042;229.155.503
Ghostbusters;Jul;15;2016;144;128.350.574;22.903.405
Big Daddy;Jun;25;1999;30;163.479.795;228.641.283
Baby Driver;Jun;28;2017;34;107.825.862;228.104.185
Chicken Run;Jun;21;2000;42;106.793.915;227.793.915
The Imitation Game;Nov;28;2014;15;91.125.143;227.773.686
Charlie's Angels: Full Throttle;Jun;27;2003;120;100.814.328;227.2
Argo;Oct;12;2012;44.5;136.025.503;227.140.757
Taken;Jan;30;2009;25;145.000.989;226.941.585
Get Smart;Jun;20;2008;80;130.319.208;226.739.416
Good Will Hunting;Dec;5;1997;10;138.433.435;225.925.989
Rocky;Nov;21;1976;1;117.235.147;225
The Social Network;Oct;1;2010;40;96.962.694;224.922.135
It’s Complicated;Dec;25;2009;85;112.735.375;224.614.744
Con Air;Jun;6;1997;80;101.117.573;224.117.573
Percy Jackson & the Olympians: The Lightning Thief;Feb;12;2010;95;88.768.303;223.050.874
Jumper;Feb;14;2008;82.5;80.172.128;222.640.812
Everest;Sep;18;2015;65;4.348.227;221.835.496
Constantine;Feb;18;2005;75;75.976.178;221.594.911
Bedtime Stories;Dec;25;2008;80;110.101.975;221.468.935
Wild Wild West;Jun;30;1999;175;113.805.681;221.229.335
Fahrenheit 9/11;Jun;23;2004;6;119.114.517;221.148.959
Geostorm;Oct;20;2017;100;3.370.016;22.080.016
Captain Phillips;Oct;11;2013;55;107.136.417;220.648.184
Captain Phillips;Oct;11;2013;55;107.136.417;220.648.184
Dracula Untold;Oct;10;2014;70;5.599.188;220.241.723
Elf;Nov;7;2003;32;173.398.518;22.023.641
Inferno;Oct;28;2016;75;34.343.574;219.561.188
Green Lantern;Jun;17;2011;200;116.601.172;219.535.492
Knocked Up;Jun;1;2007;27.May;148.761.765;219.265.952
Kingdom of Heaven;May;6;2005;110;47.398.413;218.853.353
The Terminal;Jun;18;2004;75;77.073.959;218.673.959
The Prince of Egypt;Dec;18;1998;60;101.413.188;218.613.188
What Happens in Vegas...;May;9;2008;35;80.277.646;218.535.708
The Sorcerer's Apprentice;Jul;14;2010;160;63.150.991;21.798.632
Collateral;Aug;6;2004;60;100.170.152;217.670.152
Jack Reacher;Dec;21;2012;60;80.070.736;217.370.736
Ted 2;Jun;26;2015;68;81.476.385;217.214.143
Twins;Dec;9;1988;15;111.936.388;216.6
Bram Stoker's Dracula;Nov;13;1992;40;8.252.279;215.862.692
Bad Teacher;Jun;24;2011;19;100.292.856;215.448.997
The Patriot;Jun;28;2000;110;113.330.342;215.3
Valerian and the City of a Thousand Planets;Jul;21;2017;180;4.047.937;215.116.144
Australia;Nov;26;2008;130;49.554.002;21.508.081
Just Go With It;Feb;11;2011;80;103.028.109;214.974.953
Flightplan;Sep;23;2005;55;89.706.988;214.392.904
Flightplan;Sep;23;2005;55;89.706.988;214.392.904
The Bourne Identity;Jun;14;2002;60;12.146.896;214.357.371
Crouching Tiger, Hidden Dragon;Dec;8;2000;15;128.067.808;213.514.672
Vertical Limit;Dec;8;2000;75;6.847.336;213.5
Battle: Los Angeles;Mar;11;2011;70;83.552.429;213.463.976
Miss Congeniality;Dec;22;2000;45;106.807.667;213.420.951
The Help;Aug;10;2011;25;169.705.587;213.120.004
Lemony Snicket's A Series of Unfortunate Events;Dec;17;2004;100;118.627.117;212.956.024
Pulp Fiction;Oct;14;1994;8;107.928.762;212.928.762
Master and Commander: The Far Side of the World;Nov;14;2003;135;93.926.386;212.912.137
District 9;Aug;14;2009;30;115.646.235;212.453.431
Horrible Bosses;Jul;8;2011;35;117.538.559;212.417.601
Ace Ventura: When Nature Calls;Nov;10;1995;30;108.360.063;212.4
Public Enemies;Jul;1;2009;102.5;9.710.462;212.282.709
Disclosure;Dec;9;1994;55;83.015.089;212.2
Disclosure;Dec;9;1994;55;83.015.089;212.2
End of Days;Nov;24;1999;100;66.889.043;212.026.975
Total Recall;Aug;3;2012;125;58.877.969;211.856.088
Due Date;Nov;5;2010;65;100.539.043;211.739.043
Entrapment;Apr;30;1999;66;87.707.396;211.7
Immortals;Nov;11;2011;75;83.504.017;211.562.435
Fury;Oct;17;2014;80;85.817.906;210.315.681
Moonraker;Jun;29;1979;31;70.3;210.3
The Expendables 3;Aug;15;2014;100;39.322.544;209.461.378
Braveheart;May;24;1995;72;75.545.647;209.045.522
Jaws 2;Jun;16;1978;20;102.922.376;208.900.376
Safe House;Feb;10;2012;85;12.618.163;208.542.162
The Aviator;Dec;17;2004;110;102.608.827;208.370.892
Traffic;Dec;27;2000;48;124.107.476;208.3
The Others;Aug;10;2001;17;96.522.687;207.765.056
Clear and Present Danger;Aug;3;1994;62;122.012.656;207.5
Tomorrowland;May;22;2015;170;93.436.322;207.283.457
S.W.A.T.;Aug;8;2003;70;116.877.597;207.154.748
Sleepy Hollow;Nov;19;1999;70;10.106.834;20.706.834
Eat Pray Love;Aug;13;2010;60;8.057.401;206.598.789
The Fast and the Furious;Jun;22;2001;38;14.451.231;20.651.231
Red Dragon;Oct;4;2002;78;9.295.542;20.645.542
Me Before You;Jun;3;2016;20;56.245.075;205.445.075
White House Down;Jun;28;2013;150;73.103.784;205.440.387
JFK;Dec;20;1991;40;70.405.498;205.4
Gake no ue no Ponyo;Aug;14;2009;34;15.090.399;205.312.666
The Ugly Truth;Jul;24;2009;38;88.915.214;205.298.907
A Dog’s Purpose;Jan;27;2017;25;6.432.189;205.272.612
The Holiday;Dec;8;2006;85;63.28;205.190.324
Yogi Bear;Dec;17;2010;80;100.246.011;20.477.469
Valkyrie;Dec;25;2008;90;83.107.829;203.932.174
King Arthur;Jul;7;2004;90;51.877.963;203.877.963
Alien;May;25;1979;9;8.093.063;20.363.063
Bridget Jones’s Baby;Sep;16;2016;35;24.139.805;203.555.567
Into the Woods;Dec;25;2014;56.2;128.002.372;203.502.372
Into the Woods;Dec;25;2014;56.2;128.002.372;203.502.372
Arrival;Nov;11;2016;47;100.546.139;203.178.872
Hairspray;Jul;20;2007;75;118.871.849;203.035.572
Fun With Dick And Jane;Dec;21;2005;140;110.55;203.018.919
You Don't Mess With the Zohan;Jun;6;2008;90;100.018.837;202.910.991
21 Jump Street;Mar;16;2012;42;138.447.667;202.812.429
Vanilla Sky;Dec;14;2001;70;100.614.858;202.726.605
Straight Outta Compton;Aug;14;2015;28;161.197.785;202.182.981
Paranormal Activity 3;Oct;21;2011;5;104.028.807;202.053.386
Teenage Mutant Ninja Turtles;Mar;30;1990;13.May;135.265.915;202
Kindergarten Cop;Dec;21;1990;26;91.457.688;202
Flashdance;Apr;15;1983;7;90.463.574;201.463.574
Philadelphia;Dec;22;1993;26;77.324.422;201.324.422
Percy Jackson: Sea of Monsters;Aug;7;2013;90;68.559.554;200.859.554
Cats & Dogs;Jul;4;2001;60;93.375.151;200.7
The Hunt for Red October;Mar;2;1990;30;120.709.866;200.5
The BFG;Jul;1;2016;140;5.548.377;199.905.224
Two Weeks Notice;Dec;20;2002;60;93.354.918;199.043.309
City of Angels;Apr;10;1998;55;78.750.909;198.750.909
City of Angels;Apr;10;1998;55;78.750.909;198.750.909
The Pacifier;Mar;4;2005;56;11.300.688;19.800.688
The Pacifier;Mar;4;2005;56;11.300.688;19.800.688
Spy Kids;Mar;30;2001;35;112.692.062;197.692.062
Jack the Giant Slayer;Mar;1;2013;195;65.187.603;197.687.603
The Vow;Feb;10;2012;30;12.501.403;19.761.816
Wallace & Gromit: The Curse of the Were-Rabbit;Oct;5;2005;30;56.068.547;197.593.152
Smurfs: The Lost Village;Apr;7;2017;60;45.020.282;197.268.034
The Intern;Sep;25;2015;40;75.764.672;197.232.734
Stargate;Oct;28;1994;55;71.565.669;196.565.669
Stargate;Oct;28;1994;55;71.565.669;196.565.669
Red;Oct;15;2010;60;90.380.162;196.439.693
50 First Dates;Feb;13;2004;75;120.776.832;196.320.329
Panic Room;Mar;29;2002;48;95.308.367;196.308.367
Anger Management;Apr;11;2003;56;135.560.942;195.660.942
Anger Management;Apr;11;2003;56;135.560.942;195.660.942
For Your Eyes Only;Jun;26;1981;28;54.8;195.3
The Other Woman;Apr;25;2014;40;83.911.193;195.111.193
Beowulf;Nov;16;2007;150;82.280.579;195.080.579
Paranormal Activity;Sep;25;2009;0.45;10.791.881;194.183.034
Need for Speed;Mar;14;2014;66;43.568.507;194.169.619
Xi You Ji zhi Sun Wu Kong San Da Bai Gu Jing;Feb;5;2016;60;0.709982;194.058.503
London Has Fallen;Mar;4;2016;60;6.252.426;193.857.962
Gnomeo and Juliet;Feb;11;2011;36;9.996.767;193.737.977
The Sum of All Fears;May;31;2002;68;11.847.132;193.5
The Equalizer;Sep;26;2014;55;101.530.738;192.903.624
The Equalizer;Sep;26;2014;55;101.530.738;192.903.624
Open Season;Sep;29;2006;85;85.105.259;191.932.158
The Longest Yard;May;27;2005;82;15.811.946;191.558.505
The Addams Family;Nov;22;1991;30;113.502.246;191.502.246
The Living Daylights;Jul;31;1987;40;51.185;191.2
Hollow Man;Aug;4;2000;90;7.320.934;191.2
Tropic Thunder;Aug;13;2008;90;110.515.313;191.145.256
Cheaper by the Dozen;Dec;25;2003;40;138.614.544;190.212.113
The Waterboy;Nov;6;1998;23;161.491.646;190.191.646
The Santa Clause;Nov;11;1994;22;144.833.357;189.8
Mr. Poppers's Penguins;Jun;17;2011;55;68.224.452;189.624.452
Mr. Poppers's Penguins;Jun;17;2011;55;68.224.452;189.624.452
The X Files: Fight the Future;Jun;19;1998;66;83.898.313;189.176.423
Rambo III;May;25;1988;58;53.715.611;188.715.611
Rambo III;May;25;1988;58;53.715.611;188.715.611
Hop;Apr;1;2011;63;108.085.305;188.657.593
The Secret Life of Walter Mitty;Dec;25;2013;91;58.236.838;188.281.304
The Pelican Brief;Dec;17;1993;45;100.768.056;187.995.859
Walk the Line;Nov;18;2005;29;119.519.402;187.707.495
Octopussy;Jun;10;1983;27.May;67.9;187.5
The Final Destination;Aug;28;2009;40;664.777;187.384.627
The Grudge;Oct;22;2004;10;110.359.362;187.281.115
The Horse Whisperer;May;15;1998;60;75.383.563;186.883.563
Atlantis: The Lost Empire;Jun;8;2001;90;84.052.762;18.604.902
Paul Blart: Mall Cop;Jan;16;2009;26;146.336.178;18.590.475
I Now Pronounce You Chuck and Larry;Jul;20;2007;85;11.972.528;185.708.462
The Spy Who Loved Me;Jul;13;1977;14;46.8;185.4
Snow White and the Seven Dwarfs;Dec;21;1937;1.488;184.925.485;184.925.485
Watchmen;Mar;6;2009;138;107.509.799;184.068.357
Road to Perdition;Jul;12;2002;80;104.054.514;183.354.514
Aliens;Jul;18;1986;17;85.160.248;183.316.455
Gangs of New York;Dec;20;2002;97;777.305;183.124.621
Wayne's World;Feb;14;1992;20;121.697.323;183.097.323
Daredevil;Feb;14;2003;80;102.543.518;182.782.518
Sweet Home Alabama;Sep;27;2002;38;127.214.072;182.365.114
Cape Fear;Nov;15;1991;35;79.091.969;182.291.969
Jupiter Ascending;Feb;6;2015;179;47.482.519;181.982.519
Poseidon;May;12;2006;160;60.674.817;181.674.817
The First Wives Club;Sep;20;1996;30;105.489.203;181.489.203
Bad Moms;Jul;29;2016;20;113.257.297;181.457.297
Scooby-Doo 2: Monsters Unleashed;Mar;26;2004;25;84.185.387;181.185.387
He's Just Not That Into You;Feb;6;2009;40;93.953.653;181.053.657
Déjà Vu;Nov;22;2006;80;64.038.616;181.038.616
12 Years a Slave;Oct;18;2013;20;56.671.993;181.025.343
The Haunting;Jul;23;1999;80;91.188.905;180.188.905
The Dictator;May;16;2012;65;59.650.222;180.148.897
Hugo;Nov;23;2011;180;73.864.507;180.047.784
Flushed Away;Nov;3;2006;149;64.665.672;179.357.126
The League of Extraordinary Gentlemen;Jul;11;2003;78;66.465.204;179.265.204
Scary Movie 4;Apr;14;2006;40;9.071.062;17.871.062
Dante's Peak;Feb;7;1997;115;67.163.857;178.2
Patriot Games;Jun;5;1992;45;83.287.363;178.1
Eagle Eye;Sep;26;2008;80;101.440.743;178.066.569
Flubber;Nov;26;1997;80;92.993.801;177.993.801
Double Jeopardy;Sep;24;1999;40;116.735.231;177.835.231
Jet Li's Hero;Aug;27;2004;17;5.365.214;177.535.958
Paranormal Activity 2;Oct;20;2010;3;84.752.907;177.512.032
The 40 Year-old Virgin;Aug;19;2005;26;109.449.237;17.734.423
The A-Team;Jun;11;2010;110;77.222.099;177.241.171
Tootsie;Dec;17;1982;15;177.2;177.2
Lee Daniels' The Butler;Aug;16;2013;30;116.632.095;177.025.498
Brokeback Mountain;Dec;9;2005;13.Eyl;83.043.761;177.012.173
